species,plant_functional_type,gm,An,gs_CO2,T_mesophyll,T_leaf,fias_mesophyll,Cistar_infered,L_infered,Ci_infered,g_ias,gm_,gs,dgm_,dgs,dg_ias,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
Gossypium barbadense,C3 perennial herbaceous,0.203,29.92,0.249,,340.0,0.385,40,289.0,239.83935742971886,1.2116337333898122,0.1497202572347267,0.249,0.040600000000000004,0.049800000000000004,0.24232674667796245,0.42577386115727767,0.11448028628282853,0.11360895845534069,0.5269399034147649,0.09422517102249889,0.1038991948445448
Gossypium barbadense,C3 perennial herbaceous,0.304,32.66,0.295,,206.7,0.336,40,175.695,249.28813559322035,1.7393554584089141,0.1560528020732102,0.295,0.0608,0.059,0.3478710916817829,0.36122713827119285,0.09880710952356103,0.10062493644408782,0.4299278839943322,0.11007835176037378,0.1113751944681613
Gossypium barbadense,C3 perennial herbaceous,0.355,29.92,0.249,,340.0,0.385,40,289.0,239.83935742971886,1.2116337333898122,0.1497202572347267,0.249,0.071,0.049800000000000004,0.24232674667796245,0.4201276031624496,0.11568308015205903,0.112323582439874,0.5241462794581969,0.1494019276889072,0.13551572774371612
Gossypium hirsutum,C3 perennial herbaceous,0.371,41.47,0.473,,311.0,0.445,40,264.34999999999997,272.3255813953488,1.5310492659780235,0.1784994994994995,0.473,0.0742,0.0946,0.30620985319560473,0.6570630808344285,0.19268691066944255,0.17927704600675543,0.5006081596726585,0.11628769750186474,0.13243260820774427
Gossypium hirsutum,C3 perennial herbaceous,0.357,38.58,0.359,,380.0,0.395,40,323.0,252.53481894150417,1.112251608983266,0.1815231979030144,0.359,0.0714,0.0718,0.2224503217966532,0.6718338600009507,0.18430610305889267,0.1745567820994003,0.6054849775062683,0.14611946406082704,0.15398332974150175
Gossypium hirsutum,C3 perennial herbaceous,0.39,41.47,0.473,,311.0,0.445,40,264.34999999999997,272.3255813953488,1.5310492659780235,0.1784994994994995,0.473,0.07800000000000001,0.0946,0.30620985319560473,0.642795273677146,0.17858271448205154,0.1612584639396064,0.5032458307486505,0.1470008246816218,0.13685750999549817
Gossypium hirsutum,C3 perennial herbaceous,0.483,38.58,0.359,,380.0,0.395,40,323.0,252.53481894150417,1.112251608983266,0.1815231979030144,0.359,0.0966,0.0718,0.2224503217966532,0.6815186981892453,0.20795952180464294,0.19091171119611772,0.6044495205925811,0.17726486045680184,0.17532977866080568
Gossypium hirsutum,C3 perennial herbaceous,0.267,37.26,0.387,375.0,411.0,0.47,40,375.0,263.72093023255815,1.1399218009097016,0.16654677754677752,0.387,0.0534,0.07740000000000001,0.22798436018194035,0.6907327290445827,0.20601680860145305,0.18966081298504922,0.5782394355924744,0.1285040668771399,0.12359641636986285
Gossypium hirsutum,C3 perennial herbaceous,0.347,37.26,0.387,375.0,411.0,0.47,40,375.0,263.72093023255815,1.1399218009097016,0.16654677754677752,0.387,0.0694,0.07740000000000001,0.22798436018194035,0.7190457002829638,0.21499054374335935,0.1949846629149683,0.570663411477901,0.15127175171941165,0.15649158872045588
Juglans nigra x regia,deciduous angiosperms,0.192,15.8,0.239,,150.0,0.168,40,127.5,293.89121338912133,1.1984159108437418,0.0622313777191826,0.239,0.038400000000000004,0.0478,0.23968318216874837,0.4011238091761846,0.11328968824256497,0.1108089825372941,0.32804271636999194,0.11308174347582223,0.11214161247002902
Juniperus oxycedrus,evergreen gymnosperms,0.047,6.3,0.059,320.0,425.0,0.275,40,320.0,272.0,0.7816119396197674,0.027155172413793102,0.059,0.0094,0.0118,0.15632238792395348,0.15923047241089738,0.0426489589827604,0.043634381734777294,0.2673099612453856,0.052782959526849554,0.05435943919061309
Ligustrum vulgare,deciduous angiosperms,0.056,6.56,0.056,105.7,,0.311,40,105.7,222.0,2.6760478276755566,0.03604395604395604,0.056,0.011200000000000002,0.011200000000000002,0.5352095655351113,0.04399448658766624,0.012961515969328524,0.011437450150860097,0.165384361943963,0.031355069005810504,0.03093254737754142
